,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
30,Opp 35,2023-06-29,2024-04-01, Account 29, Small,11.73,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Referral,New Business,Campaing 6,Project/Budget Cancelled/Out of Business,Unknown,277
31,Opp 36,2023-11-03,2024-01-04, Account 30, Small,25.0,Closed Lost,Sales Specialist 18,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Unable to Confirm Sale,Unknown,62
32,Opp 37,2023-10-04,2024-01-06, Account 31, Small,119.0,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Automatically closed,Unknown,94
33,Opp 38,2023-11-22,2024-01-06, Account 32, Small,72.0,Closed Lost,Sales Specialist 6,Country 1,Region 1,Segment 2,Referral,New Business,Campaing 7,Automatically closed,Unknown,45
34,Opp 39,2023-10-10,2024-01-22, Account 33, Small,1.921,Closed Won,Sales Specialist 19,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Availability / Lead Time,Unknown,104
35,Opp 40,2023-10-03,2024-01-22, Account 33, Small,27.4,Closed Won,Sales Specialist 19,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Availability / Lead Time,Unknown,111
36,Opp 41,2023-11-03,2024-01-22, Account 34, Small,324.0,Closed Won,Sales Specialist 19,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Availability / Lead Time,Unknown,80
37,Opp 42,2023-11-09,2024-01-23, Account 35, Small,590.0,Closed Won,Sales Specialist 8,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Customer Relationship,Unknown,75
38,Opp 43,2023-12-14,2024-01-26, Account 36, Small,221.0,Closed Won,Sales Specialist 18,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Service & Support,Unknown,43
39,Opp 44,2023-11-10,2024-01-26, Account 37, Small,69.0,Closed Won,Sales Specialist 19,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Availability / Lead Time,Unknown,77
