,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
13028,Opp 19599,2023-06-02,2024-02-05, Account 2726, Top 3,421.0,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Automatically closed,Unknown,248
13029,Opp 19600,2023-05-12,2024-02-05, Account 257, Top 3,,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,269
13030,Opp 19601,2023-01-31,2024-02-05, Account 3233, Top 3,536.0,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,370
13031,Opp 19602,2024-02-01,2024-02-04, Account 1248, Small,6.595,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 2,Unknown,Existing Business,Unknown,Service & Support,Unknown,3
13032,Opp 19604,2023-10-17,2024-02-04, Account 848, Top 3,305.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,110
13033,Opp 19605,2023-10-17,2024-02-04, Account 41, Top 1,299.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,110
13034,Opp 19611,2023-11-16,2024-02-04, Account 44, Small,329.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,80
13035,Opp 19612,2023-11-15,2024-02-04, Account 3399, Top 1,291.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,81
13036,Opp 19613,2023-10-23,2024-02-04, Account 1248, Small,186.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 2,Unknown,Existing Business,Unknown,Service & Support,Unknown,104
13037,Opp 19614,2024-01-05,2024-02-04, Account 3070, Top 3,1.182,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,30
13038,Opp 19616,2023-07-05,2024-02-04, Account 848, Top 3,334.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,214
13039,Opp 19617,2023-10-11,2024-02-04, Account 1061, Top 3,300.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Unknown,Service & Support,Unknown,116
13040,Opp 19618,2023-10-09,2024-02-04, Account 2119, Small,155.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,New Business,Unknown,Service & Support,Unknown,118
13041,Opp 19619,2024-01-29,2024-02-05, Account 526, Top 2,46.458,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Price,Unknown,7
13042,Opp 19620,2024-01-29,2024-02-05, Account 526, Top 2,9.738,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Price,Unknown,7
13043,Opp 19621,2024-01-29,2024-02-05, Account 526, Top 2,11.082,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Price,Unknown,7
13044,Opp 19622,2024-01-29,2024-02-05, Account 1679, Top 3,1.921,Closed Won,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,7
13045,Opp 19623,2024-01-26,2024-02-05, Account 568, Top 2,1.728,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Price,New Business,10
13046,Opp 19624,2024-01-25,2024-02-05, Account 2792, Small,39.0,Closed Won,Sales Specialist 12,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,11
13047,Opp 19625,2024-01-24,2024-02-05, Account 273, Top 3,56.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,12
13048,Opp 19626,2024-01-24,2024-02-05, Account 2792, Small,16.0,Closed Won,Sales Specialist 12,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,12
13049,Opp 19627,2024-01-24,2024-02-05, Account 1861, Small,105.0,Closed Won,Sales Specialist 12,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,12
13050,Opp 19628,2024-01-24,2024-02-05, Account 3414, Top 3,276.0,Closed Won,Sales Specialist 89,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,12
13051,Opp 19629,2024-01-23,2024-02-05, Account 453, Top 3,105.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,13
13052,Opp 19630,2024-02-05,2024-02-05, Account 2259, Top 3,33.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,0
13053,Opp 19631,2024-02-05,2024-02-05, Account 641, Top 3,189.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,0
13054,Opp 19641,2024-01-16,2024-02-05, Account 641, Top 3,58.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Price,Unknown,20
13055,Opp 19642,2024-01-14,2024-02-05, Account 2245, Small,347.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Unknown,Price,Unknown,22
13056,Opp 19645,2024-01-18,2024-02-05, Account 547, Top 3,253.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,18
13057,Opp 19646,2024-01-18,2024-02-05, Account 547, Top 3,73.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,18
13058,Opp 19647,2024-01-17,2024-02-05, Account 1781, Top 3,390.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,19
13059,Opp 19648,2024-01-17,2024-02-05, Account 1781, Top 3,272.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,19
13060,Opp 19649,2024-01-17,2024-02-05, Account 238, Top 3,174.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,19
13061,Opp 19650,2024-01-16,2024-02-05, Account 435, Top 3,126.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,20
13062,Opp 19651,2024-01-13,2024-02-05, Account 125, Top 3,50.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,23
13063,Opp 19652,2024-01-13,2024-02-05, Account 125, Top 3,13.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,23
13064,Opp 19653,2024-01-13,2024-02-05, Account 125, Top 3,40.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,23
13065,Opp 19654,2024-01-13,2024-02-05, Account 2974, Top 3,89.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,23
13066,Opp 19655,2024-01-12,2024-02-05, Account 548, Top 3,43.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,24
13067,Opp 19656,2024-01-11,2024-02-05, Account 1499, Top 3,70.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,25
13068,Opp 19658,2024-01-09,2024-02-05, Account 53, Top 3,152.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,27
13069,Opp 19659,2024-01-09,2024-02-05, Account 1219, Top 3,321.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,27
13070,Opp 19661,2024-01-09,2024-02-05, Account 1697, Top 3,166.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,27
13071,Opp 19662,2024-01-09,2024-02-05, Account 1697, Top 3,72.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,27
13072,Opp 19663,2024-01-08,2024-02-05, Account 1447, Top 1,31.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,28
13073,Opp 19664,2024-01-08,2024-02-05, Account 1697, Top 3,217.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,28
13074,Opp 19665,2024-01-05,2024-02-05, Account 1697, Top 3,88.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,31
13075,Opp 19667,2024-01-04,2024-02-05, Account 1488, Top 3,3.243,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,32
13076,Opp 19668,2024-01-04,2024-02-05, Account 1568, Small,618.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,32
13077,Opp 19669,2024-01-04,2024-02-05, Account 548, Top 3,36.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,32
13078,Opp 19670,2024-01-04,2024-02-05, Account 1447, Top 1,578.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,32
13079,Opp 19671,2024-01-04,2024-02-05, Account 1447, Top 1,120.0,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,32
13080,Opp 19672,2024-01-03,2024-02-05, Account 1488, Top 3,1.419,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,33
13081,Opp 19673,2024-01-03,2024-02-05, Account 1363, Top 3,623.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,33
13082,Opp 19674,2024-01-02,2024-02-05, Account 649, Top 1,23.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,34
13083,Opp 19682,2023-12-14,2024-02-05, Account 1812, Small,1.561,Closed Won,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,53
13084,Opp 19685,2023-11-07,2024-02-05, Account 255, Top 1,95.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,90
13085,Opp 19686,2023-11-07,2024-02-05, Account 255, Top 1,108.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,90
13086,Opp 19689,2023-10-23,2024-02-05, Account 1556, Small,742.0,Closed Won,Sales Specialist 12,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,105
13087,Opp 19693,2023-10-10,2024-02-05, Account 1463, Top 1,1.434,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,118
13088,Opp 19699,2023-05-18,2024-02-05, Account 109, Top 1,484.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Unknown,Price,Unknown,263
13089,Opp 19700,2023-04-04,2024-02-05, Account 547, Top 3,1.294,Closed Won,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,New Business,Unknown,Features / Specification / Performance,Unknown,307
13090,Opp 19701,2022-12-08,2024-02-05, Account 107, Top 3,483.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Unknown,Price,Unknown,424
13091,Opp 19702,2023-01-11,2024-02-05, Account 1913, Top 3,515.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Price,Unknown,390
13092,Opp 19703,2022-08-12,2024-02-05, Account 257, Top 3,510.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Price,Unknown,542
13093,Opp 19704,2022-01-26,2024-02-05, Account 2296, Top 3,522.0,Closed Won,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Price,Unknown,740
13094,Opp 19707,2024-02-03,2024-02-05, Account 1569, Top 1,1.743,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Price,Unknown,2
13095,Opp 19708,2024-02-01,2024-02-05, Account 575, Small,1.908,Closed Lost,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Price,Unknown,4
13096,Opp 19709,2024-01-31,2024-02-05, Account 572, Small,737.0,Closed Lost,Sales Specialist 109,Country 2,Region 1,Unknown,Unknown,Existing Business,Unknown,Price,Unknown,5
13097,Opp 19711,2024-01-24,2024-02-05, Account 3417, Small,470.0,Closed Lost,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,12
13098,Opp 19713,2024-01-17,2024-02-06, Account 255, Top 1,576.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,20
13099,Opp 19714,2024-01-16,2024-02-06, Account 3164, Top 3,249.0,Closed Won,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,21
13100,Opp 19715,2024-01-16,2024-02-06, Account 3164, Top 3,361.0,Closed Won,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,21
13101,Opp 19716,2024-01-11,2024-02-06, Account 1532, Top 3,187.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,26
13102,Opp 19717,2024-01-11,2024-02-06, Account 604, Top 3,287.0,Closed Won,Sales Specialist 50,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,26
13103,Opp 19718,2024-01-10,2024-02-06, Account 645, Top 3,25.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,27
13104,Opp 19719,2024-01-09,2024-02-06, Account 1484, Top 2,218.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,28
13105,Opp 19720,2024-01-08,2024-02-06, Account 1534, Top 3,14.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,29
13106,Opp 19721,2024-01-08,2024-02-06, Account 1534, Top 3,34.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,29
13107,Opp 19722,2024-01-03,2024-02-06, Account 120, Top 3,1.129,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,34
13108,Opp 19724,2023-12-07,2024-02-06, Account 143, Top 2,840.0,Closed Won,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,61
13109,Opp 19726,2023-10-24,2024-02-06, Account 255, Top 1,152.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,105
13110,Opp 19734,2023-09-04,2024-02-06, Account 2102, Small,1.071,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,155
13111,Opp 19736,2024-02-06,2024-02-06, Account 78, Top 2,59.0,Closed Lost,Sales Specialist 31,Country 1,Region 1,Segment 4,Unknown,Existing Business,Unknown,Unable to Confirm Sale,Unknown,0
13112,Opp 19737,2024-02-06,2024-02-06, Account 504, Top 3,350.0,Closed Lost,Sales Specialist 87,Country 2,Region 1,Segment 3,Unknown,New Business,Unknown,Price,Existing Business,0
13113,Opp 19741,2024-01-26,2024-02-06, Account 144, Top 2,140.0,Closed Lost,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Project/Budget Cancelled/Out of Business,Unknown,11
13114,Opp 19745,2024-02-06,2024-02-06, Account 3419, Small,166.0,Closed Lost,Sales Specialist 65,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Project/Budget Cancelled/Out of Business,Unknown,0
13115,Opp 19766,2024-01-17,2024-02-06, Account 441, Top 3,679.0,Closed Lost,Sales Specialist 53,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Unable to Confirm Sale,Unknown,20
13116,Opp 19767,2024-01-16,2024-02-06, Account 165, Top 2,115.0,Closed Lost,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,New Business,Unknown,Project/Budget Cancelled/Out of Business,Unknown,21
13117,Opp 19768,2024-01-03,2024-02-06, Account 143, Top 2,2.159,Closed Lost,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,New Business,Unknown,Price,Unknown,34
13118,Opp 19771,2023-08-22,2024-02-06, Account 3152, Top 1,395.0,Closed Lost,Sales Specialist 111,Country 5,Region 2,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,168
13119,Opp 19778,2024-02-05,2024-02-05, Account 568, Top 2,63.0,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Customer Relationship,Unknown,0
13120,Opp 19779,2024-02-05,2024-02-05, Account 566, Top 2,384.0,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,0
13121,Opp 19780,2024-02-05,2024-02-05, Account 566, Top 2,2.151,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,0
13122,Opp 19781,2024-02-05,2024-02-05, Account 568, Top 2,,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Price,Unknown,0
13123,Opp 19782,2024-02-05,2024-02-05, Account 568, Top 2,67.0,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Customer Relationship,New Business,0
13124,Opp 19783,2024-02-05,2024-02-05, Account 566, Top 2,865.0,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,0
13125,Opp 19785,2024-02-05,2024-02-05, Account 526, Top 2,111.0,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,0
13126,Opp 19786,2024-02-05,2024-02-05, Account 526, Top 2,1.172,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,0
13127,Opp 19787,2024-02-05,2024-02-05, Account 568, Top 2,93.0,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Price,New Business,0
13128,Opp 19788,2024-02-05,2024-02-05, Account 611, Top 3,609.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,0
13129,Opp 19789,2024-02-05,2024-02-05, Account 611, Top 3,13.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,0
13130,Opp 19790,2024-02-05,2024-02-05, Account 611, Top 3,23.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,0
13131,Opp 19791,2024-02-05,2024-02-05, Account 525, Top 2,1.619,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Price,New Business,0
13132,Opp 19792,2024-02-02,2024-02-05, Account 526, Top 2,4.61,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Price,Unknown,3
13133,Opp 19793,2024-02-02,2024-02-05, Account 1569, Top 1,27.0,Closed Won,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Availability / Lead Time,Unknown,3
13134,Opp 19794,2024-02-02,2024-02-05, Account 2760, Top 2,35.0,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,3
13135,Opp 19795,2024-02-02,2024-02-05, Account 2760, Top 2,556.0,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,3
13136,Opp 19796,2024-02-02,2024-02-05, Account 614, Top 3,62.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,3
13137,Opp 19797,2024-02-01,2024-02-05, Account 568, Top 2,1.736,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Customer Relationship,New Business,4
13138,Opp 19798,2024-01-31,2024-02-05, Account 566, Top 2,3.551,Closed Won,Sales Specialist 109,Country 2,Region 1,Segment 4,Unknown,Existing Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,5
13139,Opp 19799,2024-01-31,2024-02-05, Account 612, Small,171.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,5
13140,Opp 19800,2022-10-26,2024-02-07, Account 1253, Top 1,70.0,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Automatically closed,Unknown,469
13141,Opp 19801,2024-02-06,2024-02-06, Account 592, Top 1,,Closed Won,Sales Specialist 50,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,0
13142,Opp 19802,2024-02-06,2024-02-06, Account 568, Top 2,3.936,Closed Won,Sales Specialist 51,Country 2,Region 1,Segment 4,Unknown,New Business,Unknown,Price,New Business,0
13143,Opp 19803,2024-02-05,2024-02-06, Account 614, Top 3,75.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,1
13144,Opp 19804,2024-02-05,2024-02-06, Account 134, Top 1,94.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,1
13145,Opp 19805,2024-02-05,2024-02-06, Account 611, Top 3,166.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,1
13146,Opp 19806,2024-02-05,2024-02-06, Account 611, Top 3,143.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,1
13147,Opp 19807,2024-02-05,2024-02-06, Account 630, Small,59.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Unknown,Price,Unknown,1
13148,Opp 19808,2024-02-02,2024-02-06, Account 238, Top 3,531.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,New Business,Unknown,Customer Relationship,Unknown,4
13149,Opp 19809,2024-02-02,2024-02-06, Account 710, Top 2,731.0,Closed Won,Sales Specialist 117,Country 5,Region 2,Segment 3,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,4
13150,Opp 19810,2024-02-01,2024-02-06, Account 165, Top 2,63.0,Closed Won,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,5
13151,Opp 19811,2024-02-01,2024-02-06, Account 198, Top 3,61.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,5
13152,Opp 19812,2024-01-30,2024-02-06, Account 1394, Top 3,147.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,7
13153,Opp 19813,2024-01-29,2024-02-06, Account 1509, Small,494.0,Closed Won,Sales Specialist 78,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Features / Specification / Performance,Unknown,8
13154,Opp 19814,2024-01-29,2024-02-06, Account 238, Top 3,279.0,Closed Won,Sales Specialist 75,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Price,Unknown,8
13155,Opp 19815,2024-01-26,2024-02-06, Account 2294, Small,117.0,Closed Won,Sales Specialist 12,Country 2,Region 1,Segment 3,Unknown,Existing Business,Unknown,Price,Unknown,11
13156,Opp 19816,2024-01-26,2024-02-06, Account 622, Top 1,77.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,New Business,Unknown,Price,Unknown,11
13157,Opp 19817,2024-01-23,2024-02-06, Account 144, Top 2,475.0,Closed Won,Sales Specialist 63,Country 2,Region 1,Segment 1,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,14
13158,Opp 19828,2024-01-30,2024-02-06, Account 1458, Small,165.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,7
13159,Opp 19833,2024-01-10,2024-02-06, Account 277, Top 3,26.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,27
13160,Opp 19834,2024-01-10,2024-02-06, Account 277, Top 3,86.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,27
13161,Opp 19835,2024-01-10,2024-02-06, Account 277, Top 3,204.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,27
13162,Opp 19836,2024-01-10,2024-02-06, Account 277, Top 3,28.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,27
13163,Opp 19837,2024-01-09,2024-02-06, Account 277, Top 3,75.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Unknown,Brand Recognition / Supplier Reputation,Unknown,28
13164,Opp 19839,2024-01-02,2024-02-06, Account 588, Top 3,255.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Unknown,Customer Relationship,Unknown,35
